Name|Layer|Type|Movable|Description
Slag (Floor + Left)|Active|Enemy|False|This enemy crawls slowly along the floor, in its respective directon (left or right), any form of contact with this enemy result in death for the player
Slag (Ceiling + Right)|Active|Enemy|False|This enemy crawls slowly along the ceiling, in its respective directon (left or right), any form of contact with this enemy result in death for the player. This ceiling variant will fall upwards if no ceiling is in its path
Slag (Ceiling + Left)|Active|Enemy|False|This enemy crawls slowly along the ceiling, in its respective directon (left or right), any form of contact with this enemy result in death for the player. This ceiling variant will fall upwards if no ceiling is in its path
Paraslag (Floor)|Active|Enemy|False|This enemy remains stationary until the player comes close, it will then flip to either the ceiling or floor based on where it currently is. Any form of contact with this enemy will result in death for the player
Paraslag (Ceiling)|Active|Enemy|False|This enemy remains stationary until the player comes close, it will then flip to either the ceiling or floor based on where it currently is. Any form of contact with this enemy will result in death for the player
Kuko Jr|Active|Enemy|True|A floating spiky enemy, any form of contact will result in death. Furthermore, these enemies can be reskinned to look like Ghosts (like those seen in the Wall of Sorrow) by modifying the tilesets.txt file, for more info about modifying tilesets see the Tilesets section in the Modding Reference
Edema (Top-Right)|Active|Enemy|False|This enemy bounces from wall-to-wall, ceilings, and floors, in a diagonal motion; the direction they start in is based on which of the four variants is placed in a level. Any form of contact will result in death for the player
Edema (Bottom-Right)|Active|Enemy|False|This enemy bounces from wall-to-wall, ceilings, and floors, in a diagonal motion; the direction they start in is based on which of the four variants is placed in a level. Any form of contact will result in death for the player
Edema (Bottom-Left)|Active|Enemy|False|This enemy bounces from wall-to-wall, ceilings, and floors, in a diagonal motion; the direction they start in is based on which of the four variants is placed in a level. Any form of contact will result in death for the player
Edema (Top-Left)|Active|Enemy|False|This enemy bounces from wall-to-wall, ceilings, and floors, in a diagonal motion; the direction they start in is based on which of the four variants is placed in a level. Any form of contact will result in death for the player
Anchorfish (Small Radius and Clockwise)|Active|Enemy|True, moves the anchoring block|The Anchorfish rotates in a circle, the size of the circle and the direction in which the enemy will rotate is determined by the tile-variant that is placed in the level. The Anchorfish tile placed in the level editor marks where the pivot-point from which the enemy will rotate is, and it is also a solid block. All Achorfish start at their maximum radius above the pivot-point block, the small variant has a radius of two tiles, from the origin tile, and moves the fastest. Any form of contact will lead to player death
Anchorfish (Medium Radius and Clockwise)|Active|Enemy|True, moves the anchoring block|The Anchorfish rotates in a circle, the size of the circle and the direction in which the enemy will rotate is determined by the tile-variant that is placed in the level. The Anchorfish tile placed in the level editor marks where the pivot-point from which the enemy will rotate is, and it is also a solid block. All Achorfish start at their maximum radius above the pivot-point block, the medium variant has a radius of four tiles, from the origin tile, and moves the second-fastest. Any form of contact will lead to player death
Anchorfish (Large Radius and Clockwise)|Active|Enemy|True, moves the anchoring block|The Anchorfish rotates in a circle, the size of the circle and the direction in which the enemy will rotate is determined by the tile-variant that is placed in the level. The Anchorfish tile placed in the level editor marks where the pivot-point from which the enemy will rotate is, and it is also a solid block. All Achorfish start at their maximum radius above the pivot-point block, the large variant has a radius of six tiles, from the origin tile, and moves the slowest. Any form of contact will lead to player death
Anchorfish (Small Radius and Anti-Clockwise)|Active|Enemy|True, moves the anchoring block|The Anchorfish rotates in a circle, the size of the circle and the direction in which the enemy will rotate is determined by the tile-variant that is placed in the level. The Anchorfish tile placed in the level editor marks where the pivot-point from which the enemy will rotate is, and it is also a solid block. All Achorfish start at their maximum radius above the pivot-point block, the small variant has a radius of two tiles, from the origin tile, and moves the fastest. Any form of contact will lead to player death
Anchorfish (Medium Radius and Anti-Clockwise)|Active|Enemy|True, moves the anchoring block|The Anchorfish rotates in a circle, the size of the circle and the direction in which the enemy will rotate is determined by the tile-variant that is placed in the level. The Anchorfish tile placed in the level editor marks where the pivot-point from which the enemy will rotate is, and it is also a solid block. All Achorfish start at their maximum radius above the pivot-point block, the medium variant has a radius of four tiles, from the origin tile, and moves the second-fastest. Any form of contact will lead to player death
Anchorfish (Large Radius and Anti-Clockwise)|Active|Enemy|True, moves the anchoring block|The Anchorfish rotates in a circle, the size of the circle and the direction in which the enemy will rotate is determined by the tile-variant that is placed in the level. The Anchorfish tile placed in the level editor marks where the pivot-point from which the enemy will rotate is, and it is also a solid block. All Achorfish start at their maximum radius above the pivot-point block, the large variant has a radius of six tiles, from the origin tile, and moves the slowest. Any form of contact will lead to player death
Fixed Single Turret (Right)|Active|Enemy|True|A turret with a fixed direction that reguarly fires singular bullets in said direction. Contact with either the bullets or the turret itself will lead to death
Fixed Single Turret (Left)|Active|Enemy|True|A turret with a fixed direction that reguarly fires singular bullets in said direction. Contact with either the bullets or the turret itself will lead to death.
Fixed Single Turret (Up)|Active|Enemy|True|A turret with a fixed direction that reguarly fires singular bullets in said direction. Contact with either the bullets or the turret itself will lead to death
Fixed Single Turret (Down)|Active|Enemy|True|A turret with a fixed direction that reguarly fires singular bullets in said direction. Contact with either the bullets or the turret itself will lead to death
Fissure (Right and Cycle A)|Active|Enemy|True, moves the spawn-point tile|Skull-headed creatures that leap out of the water into the air, with a maximum jump height of ten tiles above their spawn-point. The direction in which they jump and the timing cycle of said jump is controlled by the specific tile variant. Contact with the skull allows the player to bounce higher, any other form of contact will result in death. The tile placed in the editor marks the spawn-point from which the Fissures will continuously spawn from; they eventually despawn, or can be killed using spikes and other hazards
Fissure (Left and Cycle A)|Active|Enemy|True, moves the spawn-point tile|Skull-headed creatures that leap out of the water into the air, with a maximum jump height of ten tiles above their spawn-point. The direction in which they jump and the timing cycle of said jump is controlled by the specific tile variant. Contact with the skull allows the player to bounce higher, any other form of contact will result in death. The tile placed in the editor marks the spawn-point from which the Fissures will continuously spawn from; they eventually despawn, or can be killed using spikes and other hazards
Fissure (Right and Cycle B)|Active|Enemy|True, moves the spawn-point tile|Skull-headed creatures that leap out of the water into the air, with a maximum jump height of ten tiles above their spawn-point. The direction in which they jump and the timing cycle of said jump is controlled by the specific tile variant. Contact with the skull allows the player to bounce higher, any other form of contact will result in death. The tile placed in the editor marks the spawn-point from which the Fissures will continuously spawn from; they eventually despawn, or can be killed using spikes and other hazards
Fissure (Left and Cycle B)|Active|Enemy|True, moves the spawn-point tile|Skull-headed creatures that leap out of the water into the air, with a maximum jump height of ten tiles above their spawn-point. The direction in which they jump and the timing cycle of said jump is controlled by the specific tile variant. Contact with the skull allows the player to bounce higher, any other form of contact will result in death. The tile placed in the editor marks the spawn-point from which the Fissures will continuously spawn from; they eventually despawn, or can be killed using spikes and other hazards
Musk|Active|Enemy|False|This enemy will slowly move towards the player, floating through the air and when close enough will charge rapidly at the player. Any form of contact will kill the player character
Crunch (Small Radius)|Active|Enemy|True|Chained up enemies that will charge at the player when the player comes close enough, only being stopped by the length of their chain, with this variant having a maximum charge radius of two tiles from the anchor-point. Any contact will result in death
Crunch (Medium Radius)|Active|Enemy|True|Chained up enemies that will charge at the player when the player comes close enough, only being stopped by the length of their chain, with this variant having a maximum charge radius of four tiles from the anchor-point. Any contact will result in death
Crunch (Large Radius)|Active|Enemy|True|Chained up enemies that will charge at the player when the player comes close enough, only being stopped by the length of their chain, with this variant having a maximum charge radius of six tiles from the anchor-point. Any contact will result in death
Croast (Right)|Active|Enemy|False|Skull-headed birds that will idly fly in their respective direction, until they notice the player. They will then begin flying towards the player and swoop down to attack. Contact with the skull allows the player to bounce higher, but contact with any other part will resul in death
Croast (Left)|Active|Enemy|False|Skull-headed birds that will idly fly in their respective direction, until they notice the player. They will then begin flying towards the player and swoop down to attack. Contact with the skull allows the player to bounce higher, but contact with any other part will resul in death
Springboard|Active|Basic|<br/ True|>A spring that can be bounced on by the player to reach much greater heights than a normal jump
Tumor|Active|Basic|True|Collectibles found in most levels of the game, with no more than one per screen/level. The total number of tumors collected act as lives in any level labeled as a dark world. Setting a level as a dark world level can be done by modifying the tilesets.txt file, for more info about modifying tilesets see the Tilesets section in the Modding Reference
Cartridge|Active|Basic|True|Collectible cartridges that unlock a new retro zone that can be played on the TV. These are usually found in secret areas, with one being obtained from every area/zone of the game
???|Active|???|???|Most likely unused and non-functional tiles that have no purpose
Fissure (Up and Small Jump)|Active|Enemy|True, moves the spawn-point tile|Skull-headed creatures that leap out of the water into the air, with a maximum jump height of ten tiles above their spawn-point. The direction in which they jump and the timing cycle of said jump is controlled by the specific tile variant. Contact with the skull allows the player to bounce higher, any other form of contact will result in death. The tile placed in the editor marks the spawn-point from which the Fissures will continuously spawn from; they eventually despawn, or can be killed using spikes and other hazards
Fissure (Up and Large Jump)|Active|Enemy|True, moves the spawn-point tile|Skull-headed creatures that leap out of the water into the air, with a maximum jump height of ten tiles above their spawn-point. The direction in which they jump and the timing cycle of said jump is controlled by the specific tile variant. Contact with the skull allows the player to bounce higher, any other form of contact will result in death. The tile placed in the editor marks the spawn-point from which the Fissures will continuously spawn from; they eventually despawn, or can be killed using spikes and other hazards
Pollution Cloud|Active|Enemy|True, leaving a temporary trail of pollution as it travels|A cloud of pollution (the same as those spawned by the Gasper enemy), with a radius of four tiles from its spawn-point/center-tile (visually it appears as though it is 4.5 but hanging on a ledge in this lip-area does not have any effect). The player will slowly be damanged whilst in the pollution, eventually leading to death if in contact for too long. The time it takes for pollution to kill the player can be modified using the \"toxic_timer\" variable in the \"tilesets.txt\" file; view the Tilesets section for more information
Mother|Active|Enemy|False, attempting to move Mother enemies results in a variety of glitches|When the player gets close to these enemeis they being to expand and multiply towards the player, only retracting when they are far enough away from the player character. Any form of contact will result in death
Line-of-Sight Turret|Active|Enemy|True|When the player is in view of the turret, it will continuously track the player and fire singular bullets. Contact with either the bullets or the turret itself will lead to death. Furthermore, this turret can be reskinned to look like the spitting monsters seen in Retrograde, by modifying the tilesets.txt file, for more info about modifying tilesets see the Tilesets section in the Modding Reference
Cannon|Active|Enemy|True, but the sprite will jitter about violently|>Different coloured cannons that fire out projectiles towards the closest target tile of the same colour (no matching target tile will result in a game crash). The numbers on each cannon tile indicate at what interval they will fire at. The cannonballs themselves will kill the player on contact, however, the player is able to bounce off the top-side of the cannonballs to gain extra height in their jump
Fireball Emitter|Active|Enemy|True|Different coloured fireball launchers that fire out projectiles towards the closest target tile of the same colour (no matching target tile will result in a game crash). The numbers on each fireball tile indicate at what interval they will fire at. The fireballs themselves will kill the player on contact and, unlike cannon balls, cannot be bounced off of
Target|Active|Enemy|True, Cannons and Fireball Emitters will adjust their aim as the target moves|Cannons and Fireball Emitters will attempt to fire their shots at the closest target tile that matches their colour. For each colour of cannon/fireball there must be at least one matching target or the game will crash
Fixed Burst Turret (Right)|Active|Enemy|True|A turret with a fixed direction that reguarly fires five-round bursts of bullets in said direction. Contact with either the bullets or the turret itself will lead to death
Fixed Burst Turret (Left)|Active|Enemy|True|A turret with a fixed direction that reguarly fires five-round bursts of bullets in said direction. Contact with either the bullets or the turret itself will lead to death
Fixed Burst Turret (Up)|Active|Enemy|True|A turret with a fixed direction that reguarly fires five-round bursts of bullets in said direction. Contact with either the bullets or the turret itself will lead to death
Fixed Burst Turret (Down)|Active|Enemy|True|A turret with a fixed direction that reguarly fires five-round bursts of bullets in said direction. Contact with either the bullets or the turret itself will lead to death
Line-of-Sight V-Turret (Unused)|Active|Enemy|True|A turret that fires out two bullets at a time in the shape of a V, in the general direction of the player when it has line-of-sight. Contact with either the bullets or the turret itself will lead to death. This particular turret went unused in the final game, but is still fully-functional
Rapid-Fire Line-of-Sight Turret|Active|Enemy|True|When the player is in view of the turret, it will continuously track the player and fire a constant spray of bullets. Contact with either the bullets or the turret itself will lead to death
Predictive Line-of-Sight Turret (Unused)|Active|Enemy|Null|This turret attempts to predict the player&#8217;s movement and position to aim where it will shoot. Contact with either the bullets or the turret itself will lead to death. This particular turret went unused in the final game
Kuko|Active|Enemy|True|A bigger variant of the Kuko Jr. A floating spiky enemy, any form of contact will result in death
Key|Active|Basic|True|A key collectible that when touched will go into the player's inventory (top-right of the screen). If the player comes into contact with a lock tile whilst holding a key then the key will be lost and the lock tile, and all adjacent barrier tiles, will be destroyed
Glowing Mushroom|Active|Basic|True|A decoration tile made to look like a mushroom that emits glowing light. (Only used in The Hollows area, in the game itself)
Agonyia|Active|Enemy|True|Floating, stationary, spiky balls attached to chains (used heavily throughout The Future / Dark Area levels). Any form of contact will result in death for the player
Feral|Active|Enemy|False|A variant of the Agonyia enemies that will slowly move towards the player character when close. Floating spiky balls attached to chains (used heavily throughout The Future / Dark Area levels). Any form of contact will result in death for the player
Agon|Active|Enemy|True|Warning: Placing this enemy behind Solid (Overlay/Front) tiles will result in the game crashing, reason unknown.A larger variant of the Agonyia enemies. Floating, stationary, spiky balls attached to chains (used heavily throughout The Future / Dark Area levels). Any form of contact will result in death for the player
Charger (Right)|Active|Enemy|False|A slug-like enemy that slowly moves in its respective direction, but when the player enters line-of-sight (usually by standing on the same platform as the Charger) the enemy will charge rapidly at the player; there is a small cooldown period after each charge. Any form of contact, both when moving normally and charging, will result in player death
Charger (Left)|Active|Enemy|False|A slug-like enemy that slowly moves in its respective direction, but when the player enters line-of-sight (usually by standing on the same platform as the Charger) the enemy will charge rapidly at the player; there is a small cooldown period after each charge. Any form of contact, both when moving normally and charging, will result in player death
Drooper (Right)|Active|Enemy|False|A larger variant of the Slag enemy. This enemy crawls slowly along the floor, in its respective directon (left or right), any form of contact with this enemy result in death for the player. Unlike the Slag, the Drooper does not have a variant allowing it to crawl along ceilings
Drooper (Left)|Active|Enemy|False|A larger variant of the Slag enemy. This enemy crawls slowly along the floor, in its respective directon (left or right), any form of contact with this enemy result in death for the player. Unlike the Slag, the Drooper does not have a variant allowing it to crawl along ceilings
Gorger (Right)|Active|Enemy|False|A larger variant of the Charger enemy. A slug-like enemy that slowly moves in its respective direction, but when the player enters line-of-sight (usually by standing on the same platform as the Gorger) the enemy will charge rapidly at the player; there is a small cooldown period after each charge. Any form of contact, both when moving normally and charging, will result in player death
Gorger (Left)|Active|Enemy|False|A larger variant of the Charger enemy. A slug-like enemy that slowly moves in its respective direction, but when the player enters line-of-sight (usually by standing on the same platform as the Gorger) the enemy will charge rapidly at the player; there is a small cooldown period after each charge. Any form of contact, both when moving normally and charging, will result in player death
Retinara|Active|Enemy|True|A stationary laser turret that will track the player when it has line-of-sight; whilst tracking it will charge up a laser and eventually instantly fire resulting in death for the player. Breaking line-of-sight will instantly reset the charging process
X Floast|Active|Enemy|True|A variant of the Floast enemy, it floats in the air and its skull can be bounced off of by the player. However, after bouncing on the skull it will break and kill the X Floast, meaning it is only a one-time use. Contact with any other part of the enemy will result in death
Thistlefish (Right)|Active|Enemy|False|A fish that swims through water, in its respective direction. When the player gets close the Thistlefish will being to rapidly charge at the player and is even capable of launching itself out of the water. If a Thistlefish ends up stuck on land it will bounce and flop around attempting to get back into water. Any contact with this enemy will kill the player
Thistlefish (Left)|Active|Enemy|False|A fish that swims through water, in its respective direction. When the player gets close the Thistlefish will being to rapidly charge at the player and is even capable of launching itself out of the water. If a Thistlefish ends up stuck on land it will bounce and flop around attempting to get back into water. Any contact with this enemy will kill the player
Wailer (Inflated)|Active|Enemy|True|The Wailer is a ghost that will periodically inflate and deflate, only becoming dangerous and a threat when inflated. This particular variant will remain in its inflated state constantly and will never become safe/harmless. (This enemy is seen throughout Ruin and Acceptance).
Wailer (Cycle A)|Active|Enemy|True|The Wailer is a ghost that will periodically inflate and deflate, only becoming dangerous and a threat when inflated. The number on the Wailer tile indicates what cycle it will inflate and deflate on. (This enemy is seen throughout Ruin and Acceptance).
Wailer (Cycle B)|Active|Enemy|True|The Wailer is a ghost that will periodically inflate and deflate, only becoming dangerous and a threat when inflated. The number on the Wailer tile indicates what cycle it will inflate and deflate on. (This enemy is seen throughout Ruin and Acceptance).
Mine|Active|Basic|True|A stationary mine attached to a chain. When the player comes into contact with the mine they will be lauched in the opposite direction at an extremely fast speed. These tiles can be used both as obstacles to hinder the player, as well as tools to help the player through a level (gaining extra jump height, etc.).
Exit Warp|Active|Basic|Trrue|These warps are found in all secret levels found within the game, and will warp the player back to the main path when entered. If an exit warp is entered whist on the main path / in a normal level then the player will be taken back to The End 1-1 (home).
NPC|Active|Basic|True|This tile can be assigned a variety of different NPCs that will be placed at the tile&#8217;s location, allowing for custom interactive characters. These NPCs can be assigned to the individual NPC tiles by modifying the tilesets.txt file, for more info about modifying tilesets see the Tilesets section in the Modding Reference. Furthermore new NPCs can be created, and existing ones modified, in the npcs.txt file, for more info about modifying NPCs see the NPCs section of the Modding Reference
Tutorial Graphic (Basic Movement)|Active|Basic|True|This tile will display one of the different tutorial graphics/instructions. This variant shows the basic movement controls, moving left and right, as well as jumping
Tutorial Graphic (Jumping)|Active|Basic|True|This tile will display one of the different tutorial graphics/instructions. This variant shows how holding the jump button will vary jump height
Tutorial Graphic (Ledge Grabbing + Jumping)|Active|Basic|True|This tile will display one of the different tutorial graphics/instructions. This variant shows info regarding grabbing on to ledges and performing the two types of jumps from ledges
Glowing Mushroom (Small Double)|Active|Basic|True|A decoration tile made to look like a mushroom that emits glowing light. This variant displays two smaller versions of the standard Glowing Mushroom. (Only used in The Hollows area, in the game itself)
Ring|Active|Basic|True|The collectible rings seen throughout the retro cartridge levels
Friend Head|Active|Basic|True|The collectible head of the friend, can then be placeed on the stand/hook in The End 1-1
Friend Body|Active|Basic|True|The collectible body of the friend, can then be placeed on the stand/hook in The End 1-1
Friend Heart|Active|Basic|True|The collectible heart of the friend, can then be placeed on the stand/hook in The End 1-1
Friend Stand/Hook|Active|Basic|True|The stand/hook located in The End 1-1 where the different pieces of the friend can be placed
???|Active|???|???|An unused tile, most likely originally associated with the other friend tiles grouped in this section
Acceptance Escape Ending|Active|Basic|False|Ends the Acceptance escape sequence at the end of the game. It is found in the level Ruin 1
Television and Console|Active|Basic|False|The TV and Console, with posters on the wall, located in The End 1-1. This can be interacted with to enter the cartridge selection menu
Solid Block with Gear|Active|Basic|True|A solid block with a gear decoration added onto it. These are used throughout The Machine to let the player distinguish the crushing blocks from the regular terrain
Solid Block with Eye|Active|Basic|True|A solid block with a eye decoration added onto it. These are used throughout Golgotha to let the player distinguish the crushing blocks from the regular terrain
Level Goal/Ending|Active|Basic|True|The ending goal used in all the cartridge levels and triggers the cartridge ending/winner screen, as well as sending the player back to the cartridge menu
Mega Tumor|Active|Basic|True|Collectibles found in the various secret levels of each zone, with no more than one per secret screen/level. These tumor variants add five tumors instead of just one. The total number of tumors collected act as lives in any level labeled as a dark world. Setting a level as a dark world level can be done by modifying the tilesets.txt file, for more info about modifying tilesets see the Tilesets section in the Modding Reference
Watcher|Active|Enemy|False|Slowly floats towards the player through the air; any form of contact will result in death for the player. (These enemies are only encountered in Nevermore)
Agonyia (Very Large)|Active|Enemy|True|A larger variant of the Agonyia enemies, even larger than the Agon variant. Floating, stationary, spiky balls attached to chains (used heavily throughout The Future / Dark Area levels). Any form of contact will result in death for the player. Additionally, this enemy can be reskinned to appear as Pus-Man; this can be done by modifying the tilesets.txt file, for more info about modifying tilesets see the Tilesets section in the Modding Reference
Swarm of Flies|Active|Basic|True|A decorational effect to add more visual flare to a level, this tile has no impact on gameplay
Jumping Insect|Active|Basic|False|A decorational effect to add more visual flare to a level, this tile has no impact on gameplay
Small Moving Grub|Active|Basic|False|A decorational effect to add more visual flare to a level, this tile has no impact on gameplay
Stationary Critter|Active|Basic|True|A decorational effect to add more visual flare to a level, this tile has no impact on gameplay
Small Drone|Active|Basic|False|A decorational effect to add more visual flare to a level, this tile has no impact on gameplay
Small Fish|Active|Basic|False|A decorational effect to add more visual flare to a level, this tile has no impact on gameplay
Tentacle/Worm|Active|Basic|True|A decorational effect to add more visual flare to a level, this tile has no impact on gameplay
Friend and Giant Orb|Active|Basic|False|The Friend character attached to the giant orb, seen in Ruin 20 / Acceptance 1. Jumping inside will result in the transportation to Nevermore if the player has 450+ tumors
Camera Bounds|Tag|Tag|False|Every level must have two of these tiles within them to correctly, they mark the boundaries of the camera rectangle. They can either be placed with one in the top-left corner of the camera area and the other in bottom-right or one in the bottom-left and the other in the top-right. All of the tiles within the resulting rectangle they create will be visible to the player when in the level, and anything outside will be out of the camera&#8217;s sights. If there are more than two camera bounds tiles in a level, the game will simply pick the two camera bounds that form the largest rectangle. It is considered good practice to make the resulting camera boudaries have approximately an 8:5 tile ratio inside
Debug Spawn Point|Tag|Tag|False|Most likely used during the game&#8217;s development to spawn at certain locations easily for testing, this tile is useless without access to debug commands
Map/Level Transition (Right)|Tag|Tag|False|These tiles mark entrances into a given level, the directional arrows specify which direction the player is entering the map from, allowing for the world map made up of different levels to connect together. They also act as exits to other levels, the opposite direction to the one shown specifies which direction the player is leaving from. If a level has no level transition tiles then there is no way to leave and travel to connected areas, leaving the player stuck
Map/Level Transition (Left)|Tag|Tag|False|These tiles mark entrances into a given level, the directional arrows specify which direction the player is entering the map from, allowing for the world map made up of different levels to connect together. They also act as exits to other levels, the opposite direction to the one shown specifies which direction the player is leaving from. If a level has no level transition tiles then there is no way to leave and travel to connected areas, leaving the player stuck
Map/Level Transition (Up)|Tag|Tag|False|These tiles mark entrances into a given level, the directional arrows specify which direction the player is entering the map from, allowing for the world map made up of different levels to connect together. They also act as exits to other levels, the opposite direction to the one shown specifies which direction the player is leaving from. If a level has no level transition tiles then there is no way to leave and travel to connected areas, leaving the player stuck
Map/Level Transition (Down)|Tag|Tag|False|These tiles mark entrances into a given level, the directional arrows specify which direction the player is entering the map from, allowing for the world map made up of different levels to connect together. They also act as exits to other levels, the opposite direction to the one shown specifies which direction the player is leaving from. If a level has no level transition tiles then there is no way to leave and travel to connected areas, leaving the player stuck
Move Change Direction (Right)|Tag|Tag|False|These tiles can be used to create paths to redirect and guide movable objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied
Move Change Direction (Left)|Tag|Tag|False|These tiles can be used to create paths to redirect and guide movable objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied
Move Change Direction (Up)|Tag|Tag|False|These tiles can be used to create paths to redirect and guide movable objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied
Move Change Direction (Down)|Tag|Tag|False|These tiles can be used to create paths to redirect and guide movable objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied
Move Extension|Tag|Tag|False|This tile can be used to extend the area a movement instruction/trigger impacts. This is done by joining the two areas that should both be effected with a line of these tiles; this could be used to, for example, make two buildings fall at the same time even if the player only walks on one of them. These tiles are not effected by movement instructions and do not act as triggers themselves, so the player walking through them will not trigger the desired movement effect
Falling Movement (Slow)|Tag|Tag|False|All tiles with a this tag will begin falling downward at the specified speed, based on the variant chosen
Falling Movement (Medium)|Tag|Tag|False|All tiles with a this tag will begin falling downward at the specified speed, based on the variant chosen
Falling Movement (Fast)|Tag|Tag|False|All tiles with a this tag will begin falling downward at the specified speed, based on the variant chosen
